Texto;Categoria
Atendimento de chat sem a necessidade de uma pessoa;CHATBOT
Identificação das necessidades do cliente automaticamente via chat;CHATBOT
Gostaria de um chatbot na minha empresa;CHATBOT
Robôs de atendimento de chat;CHATBOT
Atendimento de chat onlie inteligente e automático;CHATBOT
Atendimento de chatbot inteligente sem intervenção humana;CHATBOT
Ganho de produtividade, otimização do tempo e cliente satisfeito, deixando o atendente humano disponível para atuar nas frentes mais complexas ou necessárias dentro da central de atendimento.;CHATBOT
vocês possuem ferramenta de FAQ?;CHATBOT
Estava procurando por FAQ Inteligente no google e encontrei a empresa VOXAGE, tem algum cliente que utiliza esta ferramente para eu dar uma olhada? E gostaria de saber o preço analisar se vale a pena eu adquirir na minha empresa.;CHATBOT
Gostaria de saber se vocês trabalham com agente virtual?;CHATBOT
quanto custa o produto?;COST
Quanto custa o sistema de Chat?;COST
Quanto custa o sistema de Email?;COST
Gostara de um orçamento para chat;COST
Gostara de um orçamento para email;COST
Gostara de um orçamento para chatbot;COST
Gostara de um orçamento para ura;COST
Gostara de um orçamento para discador;COST
Gostara de um orçamento para FAQ;COST
Valores dos sistemas da empresa;COST
Existe uma tabela de valores?;COST
Orçamento do sitema da voxage.;COST
Preço dos sistemas da voxage;COST
Gostaria de um orçamento para a minha empresa;COST
Quanto custa o sistema de Chatbot?;COST
gostaria de saber como funciona o processo de implementação e os valores para tal;COST
Quanto custa o sistema de Discador;COST
Quanto custa o sistema de FAQ;COST
Quanto custa o sistema de URA?;COST
Eu gostaria de receber o catalogo de serviço da empresa e o orçamento de cada serviço no email.;COST
Gostaria de saber, como funciona e qual é o custo do discador automático de vocês?;COST
voces trabalham com discador?;DISCADOR
Há reagendamento de ligação na discagem automática?;DISCADOR
Separar discagem por tipo de campanha;DISCADOR
Discagens automáticas para uma base de cliente;DISCADOR
Discar para vários numeros automaticamente ;DISCADOR
Discar para vários clientes automaticamente;DISCADOR
Discar para uma base de dados automaticamente;DISCADOR
Realizar discagens automáticas;DISCADOR
Realizar discagens e transferir as chamadas;DISCADOR
Discagens para realizar cobranças de clientes;DISCADOR
Discagens para realizar pesquisa de satisfação;DISCADOR
Discagens para ofertas promocionais;DISCADOR
Parametrizar discangens para os clientes;DISCADOR
Relatórios sobre discagem de campanha;DISCADOR
Estou interessado em Discagem automática;DISCADOR
gostaria de saber se vocês possuem algum serviço de discador?;DISCADOR
gostaria de saber se a VoxAge disponibiliza uma plataforma de Discador Automático?;DISCADOR
automatizar as discagens e ainda, de forma inteligente, distribuir as chamadas;DISCADOR
solução perfeita para auxiliar a sua empresa em diversas atividades: vendas, logística, cobrança, pesquisa de satisfação, lançamento de produtos ou ofertas promocionais, campanhas de fidelização e gerenciamento do relacionamento com o cliente, mobile marketing e avisos importantes aos clientes.;DISCADOR
quero falar sobre o app ME ATENDE;ME_ATENDE
gostaria de saber como funciona o ME ATENDE. Vi que vocês tem a opção de criação de um APP exclusivo para minha empresa e podemos também utilizar o ME ATENDE como empresa parceira.;ME_ATENDE
Aplicativo de celular para atendimento;ME_ATENDE
Aplicativo com atendimento automatizado;ME_ATENDE
Solicitação de retorno de chamada via aplicativo;ME_ATENDE
Gostaria de fornecer um atendimento via aplicativo de celular para minha empresa;ME_ATENDE
atendimento via aplicaitivo iPhone e Android;ME_ATENDE
Integrar o aplicativo com o aplicativo da minha empresa;ME_ATENDE
Gostaria de entender mais sobre o aplicativo Me atende;ME_ATENDE
Facilitar o atendimento do cliente via aplicativo;ME_ATENDE
Estou em busca da redução de custos usando um aplicativo de celular para atendimento;ME_ATENDE
Redução de custos via aplicativo mobile;ME_ATENDE
atendimento mobile para os clientes;ME_ATENDE
o cliente seleciona a empresa com quem deseja falar, navega em uma lista de serviços, em algumas empresas já consegue se identificar e realizar um autoatendimento, depois escolhe o que deseja e solicita a chamada ou chat da empresa.;ME_ATENDE
Criar um aplicativo específico da minha empresa para atendimento;ME_ATENDE
customizado com a identidade visual de sua empresa. E ainda, além de ter o seu próprio aplicativo, a sua empresa entrará na lista de empresas disponíveis no MeAtende. Assim, o seu cliente poderá encontrar a sua empresa pelos dois apps.;ME_ATENDE
vocês só possuem solução de voz então?;MULTI_CHANNEL
Olá bom dia! Estava visitando o site de vcs e vi que possuem ferramentas para multicanalidade ;MULTI_CHANNEL
O que a VOXAGE tem de CROSSCHANNEL para me oferecer? poderia me passar um orçamento?;MULTI_CHANNEL
A voxage possui sistema multicanal;MULTI_CHANNEL
Um sistema de atendimento que atenda todos os canais que tenho disponíveis hoje, e eu consiga acessar relatórios de todos esses canais em um lugar só;MULTI_CHANNEL
Venho pesquisando bastante sobre multichannel e gostaria de saber como faço para ter mais informações sobre essa tecnologia. Podem entrar em contato comigo para maiores informações? Desde já agradeço.;MULTI_CHANNEL
Bom dia, gostaria de um contato para conhecer melhor o produto para poder verificar a aderência do mesmo em nossa operação.;PRODUTO
com quem posso falar sobre a possibilidade de conhecer a ferramenta de vcs para pequenas empresas;PRODUTO
Vocês possuem alguma ferramenta para monitoria do atendimento, avaliação dos atendentes?;PRODUTO
Tenho interesse em saber como funciona a ferramenta da VoxAge E principalmente em adquiri-la para minha empresa;PRODUTO
Estamos em busca de soluções completas tanto para atendimento receptivo e ativo para o nosso contact center;PRODUTO
Gostaria que me enviassem uma apresentação da ferramenta que possuem para SAC e Facebook para eu dar uma olhada;PRODUTO
Tenho uma empresa de callcenter com 20 PAs o que vocês poderia me oferecer para melhorar o meu atendimento com os clientes finais? Faço atendimento pelos canais telefone/celulares e por chat;PRODUTO
Sou responsável por um callcenter com 1800 PAs e gostaria de trocar a solução que tenho hoje, pois esta me causando muita dor de cabeça. Qual o cliente de vocês que tem mais de 1800 PAs? Gostaria do contato para poder conhecer a operação.;PRODUTO
Estou com a seguinte necessidade: Hoje os clientes inserem o CPF e o telefone no meu site, quando eles clicam em OK precisaria fazer algo para efetuar uma ligação para este cliente. Vocês tem alguma solução para suprir a minha necessidade? ;PRODUTO
O sistema de vocês faz integração com qualquer plataforma? Tem alguma restrição para integrar ?;PRODUTO
Gostaria de entender mais sobre o que os sistemas da voxage fazem;PRODUTO
Gostaria de mais informações sobre o VosCenter;PRODUTO
Queria saber mais sobre o VosCenter e os outros serviços;PRODUTO
Gostaria de uma apresentação dos seus produtos;PRODUTO
Estou interessado nas soluções que vocês desenvolvem. Onde consigo maiores detalhes de cada serviço que vocês desenvolvem ? Tem alguns cases que eu possa ver?;PRODUTO
Estou abrindo uma empresa de cobrança. Vocês possuem alguma tecnologia que abrange todo o gerenciamento de uma central de atendimento? Se sim, podem entrar em contato comigo por favor? Meu numero é: 11111111111;PRODUTO
Gostaria de uma mini central de atendimento.  É possivel ou existe uma quantidade mínima que é exigida para que vocês possam prestar serviço?;PRODUTO
Contratei o envio de SMS de voces.;SMS
Gostaria do envio de mensagens de texto;SMS
Enviar mensagem de texto para meus clientes;SMS
Preciso enviar milhares de SMS hoje;SMS
Gostaria de um sistema para o envio de torpedos;SMS
Enviar torpedos para meus clientes;SMS
Enviar Torpedos para uma lista de clientes;SMS
Enviar SMS para uma lista de clientes;SMS
Preciso enviar milhares de torpedos hoje;SMS
Preciso enviar 5 mil SMS hoje.;SMS
Olá, eu estou elaborando uma campanha para um cliente nosso e gostaria de orçamento para disparo de sms para esta campanha.;SMS
 portal online de envio de mensagens de texto. ;SMS
Sua principal característica é a capacidade para envios de grandes volumes de mensagens, permitindo a integração através de HTTPS ou WebService com os mais diversos produtos de gestão ERP, CRM, entre outros;SMS
O SMS Center conta com funcionalidades importantes, tais como: controle de agendamento para envios, reagendamentos, campos dinâmicos, importação e manipulação de arquivo, captura de respostas de mensagens e ainda oferece relatórios de envios e financeiro, tudo online.;SMS
Existe uma forma de pré-visualizar a ferramenta?;TRIAL
Gostaria de um preview da ferramenta;TRIAL
Há alguma forma de testar o sistema para verificar se atende a necessidade?;TRIAL
Existe um período de testes antes de assinar contrato?;TRIAL
Gostaria de testar a ferramenta de vocês;TRIAL
ola, voces possuem algum trial da ferramenta?;TRIAL
tenho uma pequena empresa e gostaria de fazer o trial para ver como é o atendimento;TRIAL
como consigo uma cotação para uma ura de atendimento;URA
Estou montando uma empresa, quero saber o valor da ura ativa;URA
Preciso de uma URA para um PABX simples;URA
gostaria de receber informações sobre o autoatendimento para URA;URA
Boa tarde. Gostaria de solicitar um orçamento de URa e discador para nossa empresa;URA
Boa tarde, preciso de uma proposta comercial para ura inteligente;URA
Gostaria de receber mais informações à respeito do IVR;URA
Boa tarde. Gostaria de maiores informações sobre a Ura humanizada;URA
Voces trabalham com ligacao automatizada com direcionamento para cal center;URA
Pedir para cliente digitar no telefone os dados dele e eu ver na tela?;URA
atendimento automatico de telefone fixo que direcione o cliente para o departamento que ele deseja.;URA
Precisaria de algumas informações pode me passar por favor? referente a Ura;URA
Boa tarde, estou efetuando cotação para utilização de uma ura ;URA
Atendimento automatico e direcionamento para os departamentos;URA
URA Inteligente;URA
Estou iniciando um processo de concorrência para automatização de nossa URA de suporte técnico e gostaria de um e-mail comercial da Voxage para que eu possa encaminhar a RFQ;URA
Em relação as interações com a URA, elas podem ser feitas tanto por DTMF (digitação do teclado do telefone) como por reconhecimento de voz, ;URA
Vi que vocês possuem um discador. Como funciona essa tecnologia? Podem me detalhar por favor? Obrigado.;URA
Boa tarde.Quero informações sobre o VOS PCI E como funciona o serviço,é cobrado por transação?;VOS_PCI
Bom dia Ana Paula, eu vi a solução VOS PCI de vocês através da internet;VOS_PCI
Gostaria de saber mais detalhes sobre a tecnologia de vocês permitem captar dados sigilosos, quer sejam de cartão de crédito ou qualquer outro dado por meio do telefone.;VOS_PCI
Estamos buscando uma ferramenta que nos possibilite receber o pagamento de boletos de internet e telefonia através de cartão de crédito e precisamos entender como funcionam as ferramentas oferecidas por vocês para que possamos registrar os dados dos cartões dos Clientes com segurança;VOS_PCI
Vou cadastrar cliente via fone grava conversas e pedir para cliente digitar rg cpf;VOS_PCI
O VOS PCI ELE É LIGADO AO COMPUTADOR JUNTO COM A MAQUINA DE CARTÃO DE CREDITO ESTAMOS IMPLANTANDO NA NOSSA EMPRESA VENDAS POR TELEFONE E BUSCAMOS UMA FORMA SEGURA PARA NOSSOS CLIENTES;VOS_PCI
Vi que vocês tem um serviço que otimiza a compra com cartão de crédito via telefone, o VOS PCI;VOS_PCI
Gostaria de um sistema para coletar informações sigilosas dos meus clientes;VOS_PCI
Vocês fornecem alguma funcionalidade para obter dados privados dos usuários;VOS_PCI
Como eu conseguiria evitar fraudes com informações de sigilo dos meus clientes;VOS_PCI
uma solução que permite coletar dados sigilosos do cliente, como os dados do cartão de crédito, por meio do teclado do telefone, sem que o operador tenha acesso a estes dados;VOS_PCI
